Environment,Task,SolutionConcept,Method,Epoch,Iteration,Risk,ExpectedReward,BFViolated,RegretViolated,observe_convergence,check_CE
FairGamble,MDCE,DBCE,DBCE,0,0,0.8765447809561184,0.0,1.2825817400462327,0.1314376255601391,False,8.372465569947442
FairGamble,MDCE,DBCE,DBCE,0,1,1.725092026275472,0.0,0.001208348050852237,0.00012598394053851654,False,9.47893889162703
FairGamble,MDCE,DBCE,DBCE,0,2,43.510563565857616,0.0,0.0005400601975793506,4.693936008370869e-05,False,0.6841384520129152
FairGamble,MDCE,DBCE,DBCE,0,3,44.78094347176811,0.0,0.060554576248456726,0.003479732374179534,False,0.6984935499856046
FairGamble,MDCE,DBCE,DBCE,0,4,45.81648367366241,0.0,0.0003848852214716203,3.220749467747197e-05,False,0.48777820211178174
FairGamble,MDCE,DBCE,DBCE,0,5,46.559715711317516,0.0,0.08859890684485094,0.007506860658662351,False,0.42692101447548314
FairGamble,MDCE,DBCE,DBCE,0,6,47.017566817651954,0.0,0.07622656439951925,0.006367762509381647,False,0.3484330629897719
FairGamble,MDCE,DBCE,DBCE,0,7,47.40488894161227,0.0,0.14488147670260787,0.012031094672022902,False,0.22270460221605182
FairGamble,MDCE,DBCE,DBCE,0,8,46.901076376821145,0.0,0.3188823114252699,0.02628248745669881,False,0.4663576887455232
FairGamble,MDCE,DBCE,DBCE,0,9,45.417869156458124,0.0,0.5163785505420861,0.041751200250477405,False,0.6163140923037398
FairGamble,MDCE,DBCE,DBCE,0,10,43.96684927189969,0.0,0.3251074287322524,0.025339375403526043,False,0.22174025060881208
FairGamble,MDCE,DBCE,DBCE,0,11,41.85251404608056,0.0,0.4592568863113584,0.035843610640309276,False,0.6616955883021909
FairGamble,MDCE,DBCE,DBCE,0,12,77.72910440123538,0.0,582.1686390612672,51.04630750146247,False,50.96506963504223
FairGamble,MDCE,DBCE,DBCE,0,13,0.39848162984593644,0.0,0.25953711914893063,0.020599716466104843,False,0.8698519286717092
